province,capital,region
Abra,Bangued,CAR
Agusan del Norte,Cabadbaran,Region XIII
Agusan del Sur,Prosperidad,Region XIII
Aklan,Kalibo,Region VI
Albay,Legazpi,Region V
Antique,San Jose de Buenavista,Region VI
Apayao,Kabugao,CAR
Aurora,Baler,Region III
Basilan,Isabela,BARMM
Bataan,Balanga,Region III
Batanes,Basco,Region II
Batangas,Batangas City,Region IV-A
Benguet,La Trinidad,CAR
Biliran,Naval,Region VIII
Bohol,Tagbilaran,Region VII
Bukidnon,Malaybalay,Region X
Bulacan,Malolos,Region III
Cagayan,Tuguegarao,Region II
Camarines Norte,Daet,Region V
Camarines Sur,Pili,Region V
Camiguin,Mambajao,Region X
Capiz,Roxas,Region VI
Catanduanes,Virac,Region V
Cavite,Imus,Region IV-A
Cebu,Cebu City,Region VII
Cotabato,Kidapawan,Region XII
Davao de Oro,Nabunturan,Region XI
Davao del Norte,Tagum,Region XI
Davao del Sur,Digos,Region XI
Davao Occidental,Malita,Region XI
Davao Oriental,Mati,Region XI
Dinagat Islands,San Jose,Region XIII
Eastern Samar,Borongan,Region VIII
Guimaras,Jordan,Region VI
Ifugao,Lagawe,CAR
Ilocos Norte,Laoag,Region I
Ilocos Sur,Vigan,Region I
Iloilo,Iloilo City,Region VI
Isabela,Ilagan,Region II
Kalinga,Tabuk,CAR
La Union,San Fernando,Region I
Laguna,Santa Cruz,Region IV-A
Lanao del Norte,Tubod,Region X
Lanao del Sur,Marawi,BARMM
Leyte,Tacloban,Region VIII
Maguindanao del Norte,Datu Odin Sinsuat,BARMM
Maguindanao del Sur,Buluan,BARMM
Marinduque,Boac,Region IV-B
Masbate,Masbate City,Region V
Misamis Occidental,Oroquieta,Region X
Misamis Oriental,Cagayan de Oro,Region X
Mountain Province,Bontoc,CAR
Negros Occidental,Bacolod,Region VI
Negros Oriental,Dumaguete,Region VII
Northern Samar,Catarman,Region VIII
Nueva Ecija,Palayan,Region III
Nueva Vizcaya,Bayombong,Region II
Occidental Mindoro,Mamburao,Region IV-B
Oriental Mindoro,Calapan,Region IV-B
Palawan,Puerto Princesa,Region IV-B
Pampanga,San Fernando,Region III
Pangasinan,Lingayen,Region I
Quezon,Lucena,Region IV-A
Quirino,Cabarroguis,Region II
Rizal,Antipolo,Region IV-A
Romblon,Romblon,Region IV-B
Samar,Catbalogan,Region VIII
Sarangani,Alabel,Region XII
Siquijor,Siquijor,Region VII
Sorsogon,Sorsogon City,Region V
South Cotabato,Koronadal,Region XII
Southern Leyte,Maasin,Region VIII
Sultan Kudarat,Isulan,Region XII
Sulu,Jolo,BARMM
Surigao del Norte,Surigao City,Region XIII
Surigao del Sur,Tandag,Region XIII
Tarlac,Tarlac City,Region III
Tawi-Tawi,Bongao,BARMM
Zambales,Iba,Region III
Zamboanga del Norte,Dipolog,Region IX
Zamboanga del Sur,Pagadian,Region IX
Zamboanga Sibugay,Ipil,Region IX
Metro Manila,Manila,NCR