Region Number,Region Name,Area,
NCR,National Capital Region,619.57 km2,239.22 sq mi
CAR,Cordillera Administrative Region,"19,422.03 km2","7,498.89 sq mi"
I,Ilocos Region,"13,012.60 km2","5,024.19 sq mi"
II,Cagayan Valley,"28,228.83 km2","10,899.21 sq mi"
III,Central Luzon,"22,014.63 km2","8,499.90 sq mi"
IV-A,CALABARZON,"16,873.31 km2","6,514.82 sq mi"
MIMAROPA,MIMAROPA Region,"29,620.90 km2","11,436.69 sq mi"
V,Bicol Region,"18,155.82 km2","7,010.00 sq mi"
VI,Western Visayas,"20,794.18 km2","8,028.68 sq mi"
VII,Central Visayas,"15,487.69 km2","5,979.83 sq mi"
VIII,Eastern Visayas,"23,251.10 km2","8,977.30 sq mi"
IX,Zamboanga Pensinsula,"17,056.73 km2","6,585.64 sq mi"
X,Northern Mindanao,"20,496.02 km2","7,913.56 sq mi"
XI,Davao Region,"20,357.42 km2","7,860.04 sq mi"
XII,SOCCSKSARGEN,"22,513.30 km2","8,692.43 sq mi"
CARAGA,CARAGA Administrative Region,"21,478.35 km2","8,292.84 sq mi"
BARMM,Bangsamoro Autonomous Region In Muslim Mindanao,"12,535.79 km2","4,840.10 sq mi"