Region,Region Number,Region Name,Description
Region 1: Ilocos Region,I,Ilocos Region,"Ilocos is a region situated in the Philippines, located along the northwestern coast of Luzon island."
Region 1: Ilocos Region,,,"The region is renowned for its historic sites, beautiful beaches, and the well-preserved Spanish colonial city of Vigan."
Region 1: Ilocos Region,,,"Vigan's Mestizo district, dating back to the 16th century, is characterized by charming cobblestone streets and mansions adorned with wrought-iron balconies."
Region 1: Ilocos Region,,,"Towards the northern part of Ilocos, Laoag City serves as a gateway to the vast La Paz Sand Dunes."
Region 1: Ilocos Region,,,Ilocos offers a rich cultural experience and showcases its heritage through its architectural wonders.
Region 1: Ilocos Region,,,The region's scenic landscapes and historical significance make it a popular destination for travelers.
Region 2: Cagayan Valley,II,Cagayan Valley,"Cagayan Valley, an administrative region in the Philippines, lies in the northeastern section of Luzon Island.
"
Region 2: Cagayan Valley,,,"It comprises five Philippine provinces: Batanes, Cagayan, Isabela, Nueva Vizcaya, and Quirino."
Region 2: Cagayan Valley,,,"The region hosts four chartered cities: Cauayan, Ilagan, Santiago, and Tuguegarao."
Region 2: Cagayan Valley,,,Most of its land area is located in the valley between the Cordilleras and the Sierra Madre mountain ranges.
Region 2: Cagayan Valley,,,"The region is traversed by the Cagayan River, the country's largest and longest, flowing from the Caraballo Mountains to Aparri."
Region 2: Cagayan Valley,,,"Cagayan Valley is the second largest Philippine administrative region by land area, and boasts a high functional literacy rate of 97.2% according to a 2013 survey."
Region 3: Central Luzon,III,Central Luzon,"Central Luzon, also known as Region III, is an administrative region in the Philippines."
Region 3: Central Luzon,,,It organizes the 7 provinces in the vast central plains of Luzon for administrative convenience.
Region 3: Central Luzon,,,"The region is renowned as the ""Rice Granary of the Philippines"" since it produces the majority of the country's rice supply."
Region 3: Central Luzon,,,"Its provinces include Aurora, Bataan, Bulacan, Nueva Ecija, Pampanga, Tarlac, and Zambales."
Region 3: Central Luzon,,,Pangasinan was once part of Central Luzon but was incorporated into the Ilocos Region.
Region 3: Central Luzon,,,Aurora was previously part of Southern Tagalog and was transferred to Central Luzon in 2002. 
Region 4A: CALABARZON,IV-A,CALABARZON,"CALABARZON (Region IV-A) is an admin region in the Philippines, with 5 provinces and 1 city."
Region 4A: CALABARZON,,,"Most populous region, with over 16.1 million inhabitants in 2020, after NCR.
"
Region 4A: CALABARZON,,,"Situated southeast of Metro Manila, bordered by Manila Bay, Lamon Bay, Tayabas Bay, and Central Luzon."
Region 4A: CALABARZON,,,Home to attractions like Mount Makiling and Taal Volcano.
Region 4A: CALABARZON,,,Previously part of Southern Tagalog before becoming a separate region in 2002.
Region 4A: CALABARZON,,,"Notable places: Mount Makiling near Los Ba침os, Laguna, and Taal Volcano in Batangas."
MIMAROPA: Southwestern Tagalog Region,MIMAROPA,MIMAROPA Region,"MIMAROPA, officially the Southwestern Tagalog Region, is an administrative region in the Philippines.
"
MIMAROPA: Southwestern Tagalog Region,,,"It consists of five provinces: Occidental Mindoro, Oriental Mindoro, Marinduque, Romblon, and Palawan."
MIMAROPA: Southwestern Tagalog Region,,,"Unlike most regions, MIMAROPA has no land border with another region, similar to Eastern Visayas."
MIMAROPA: Southwestern Tagalog Region,,,"Previously part of Southern Tagalog, it became a separate region on May 17, 2002."
MIMAROPA: Southwestern Tagalog Region,,,"On May 23, 2005, Palawan and Puerto Princesa were moved to Western Visayas but later put on hold pending review."
MIMAROPA: Southwestern Tagalog Region,,,"On July 17, 2016, Republic Act No. 10879 formally established the Southwestern Tagalog Region as MIMAROPA, discontinuing the Region IV-B designation with no boundary changes."
Region 5: Bicol Region,V,Bicol Region,"Bicol Region, also known as Bicolandia, is an administrative region in the Philippines (Region V)."
Region 5: Bicol Region,,,"It comprises six provinces: Albay, Camarines Norte, Camarines Sur, Sorsogon, Catanduanes, and Masbate."
Region 5: Bicol Region,,,"The regional center is Legazpi, with one independent component city, Naga."
Region 5: Bicol Region,,,"Bounded by Lamon Bay to the north, the Philippine Sea to the east, and Sibuyan Sea and Ragay Gulf to the west."
Region 5: Bicol Region,,,Camarines Norte and Camarines Sur share a border with Quezon in the Calabarzon region.
Region 5: Bicol Region,,,Located on the Bicol Peninsula (southeastern end of Luzon) with two provinces off the shore.
Region 6: Western Visayas,VI,Western Visayas,"Western Visayas, Region VI, is an administrative region in the Philippines."
Region 6: Western Visayas,,,"It includes six provinces: Aklan, Antique, Capiz, Guimaras, Iloilo, and Negros Occidental."
Region 6: Western Visayas,,,"Two highly urbanized cities, Bacolod and Iloilo City, are also part of the region."
Region 6: Western Visayas,,,Iloilo City serves as the regional center.
Region 6: Western Visayas,,,"The region is known for its native speakers of four Visayan languages: Hiligaynon, Kinaray-a, Aklanon, and Capiznon."
Region 6: Western Visayas,,,"With a land area of 20,794.18 km2 and a population of 7,954,723, it is the second most populous region in the Visayas after Central Visayas."
Region 7: Central Visayas,VII,Central Visayas,"Central Visayas, Region VII, is an administrative region in the Philippines."
Region 7: Central Visayas,,,"It comprises four provinces: Cebu, Bohol, Negros Oriental, and Siquijor."
Region 7: Central Visayas,,,"Three highly urbanized cities included are Cebu City, Lapu-Lapu, and Mandaue."
Region 7: Central Visayas,,,"The major islands in the region are Cebu, Bohol, Siquijor, and the eastern part of Negros."
Region 7: Central Visayas,,,Cebu City serves as the regional center and the largest city.
Region 7: Central Visayas,,,"The region is known for its native speakers of four Visayan languages: Cebuano, Bantayanon, Boholano, and Porohanon."
Region 8: Eastern Visayas,VIII,Eastern Visayas,"Eastern Visayas, Region VIII, is an administrative region in the Philippines."
Region 8: Eastern Visayas,,,"It is composed of three main islands: Samar, Leyte, and Biliran."
Region 8: Eastern Visayas,,,"The region comprises six provinces, one independent city, and one highly urbanized city."
Region 8: Eastern Visayas,,,The regional center is the highly urbanized city of Tacloban.
Region 8: Eastern Visayas,,,Eastern Visayas faces the Philippine Sea to the east.
Region 8: Eastern Visayas,,,"The San Juanico Bridge is a famous landmark connecting Samar and Leyte provinces.
"
Region 9: Zamboanga Peninsula,IX,Zamboanga Pensinsula,"Zamboanga Peninsula, Region IX, is an administrative region in the Philippines."
Region 9: Zamboanga Peninsula,,,"It comprises three provinces: Zamboanga del Norte, Zamboanga Sibugay, and Zamboanga del Sur."
Region 9: Zamboanga Peninsula,,,"The region includes four cities: Dapitan, Dipolog, Pagadian, and Isabela."
Region 9: Zamboanga Peninsula,,,Zamboanga City is a highly urbanized city within the region.
Region 9: Zamboanga Peninsula,,,"Formerly known as Western Mindanao, the region was renamed through Executive Order No. 36 of 2001."
Region 9: Zamboanga Peninsula,,,"While Pagadian is now the regional center, Zamboanga City remains the cultural, economic, and educational hub."
Region 10: Northern Mindanao,X,Northern Mindanao,"Northern Mindanao, Region X, is an administrative region in the Philippines."
Region 10: Northern Mindanao,,,"It consists of five provinces: Bukidnon, Camiguin, Misamis Occidental, Misamis Oriental, and Lanao del Norte."
Region 10: Northern Mindanao,,,The region also includes two highly urbanized cities.
Region 10: Northern Mindanao,,,These areas occupy the north-central part of Mindanao island and the island-province of Camiguin.
Region 10: Northern Mindanao,,,Cagayan de Oro serves as the regional center.
Region 10: Northern Mindanao,,,Lanao del Norte was transferred to Northern Mindanao from Region XII in September 2001.
Region 11: Davao Region,XI,Davao Region,"Davao Region, Region XI, is an administrative region in the Philippines, formerly called Southern Mindanao."
Region 11: Davao Region,,,"It is located in the southeastern portion of Mindanao and comprises five provinces: Davao de Oro, Davao del Norte, Davao del Sur, Davao Oriental, and Davao Occidental."
Region 11: Davao Region,,,"The region surrounds Davao Gulf, with Davao City as its regional center."
Region 11: Davao Region,,,"The name ""D치vao"" is derived from the Bagobo word ""daba-daba,"" which means ""fire"" in Spanish."
Region 11: Davao Region,,,Davao Region is known for its vibrant culture and natural beauty.
Region 11: Davao Region,,,The region's diverse landscapes offer opportunities for tourism and agriculture.
Region 12: SOCCSKSARGEN,XII,SOCCSKSARGEN,"Soccsksargen, Region XII, is an administrative region in the Philippines, formerly known as Central Mindanao."
Region 12: SOCCSKSARGEN,,,"It is situated in south-central Mindanao and is named after its constituent provinces and one highly urbanized city: South Cotabato, Cotabato, Sultan Kudarat, Sarangani, and General Santos."
Region 12: SOCCSKSARGEN,,,"The regional center is in Koronadal, located in South Cotabato province."
Region 12: SOCCSKSARGEN,,,"General Santos, the most populous city in the region, serves as the center of commerce and industry."
Region 12: SOCCSKSARGEN,,,Soccsksargen is known for its rich cultural heritage and diverse landscapes.
Region 12: SOCCSKSARGEN,,,"The region's economy is driven by agriculture, trade, and industry, with General Santos being a major hub for fishing and export."
CARAGA: CARAGA Administrative Region,XIII,CARAGA,"Caraga, Region XIII, is an administrative region in the Philippines, situated in northeastern Mindanao."
CARAGA: CARAGA Administrative Region,,,"The region was established through Republic Act No. 7901 on February 23, 1995."
CARAGA: CARAGA Administrative Region,,,"Caraga comprises five provinces: Agusan del Norte, Agusan del Sur, Dinagat Islands, Surigao del Norte, and Surigao del Sur."
CARAGA: CARAGA Administrative Region,,,"It also includes six cities: Bayugan, Bislig, Butuan, Cabadbaran, Surigao, and Tandag."
CARAGA: CARAGA Administrative Region,,,"Caraga has 67 municipalities and 1,311 barangays, showcasing its diverse communities."
CARAGA: CARAGA Administrative Region,,,"The city of Butuan, being the most urbanized, serves as the regional administrative center."
NCR: National Capital Region,NCR,National Capital Region,"National Capital Region, also known as Metro Manila, is the capital and largest metropolitan area of the Philippines."
NCR: National Capital Region,,,"It is situated on the eastern shore of Manila Bay, between Central Luzon and Calabarzon regions."
NCR: National Capital Region,,,"The region comprises 16 highly urbanized cities: the City of Manila, Caloocan, Las Pi침as, Makati, Malabon, Mandaluyong, Marikina, Muntinlupa, Navotas, Para침aque, Pasay, Pasig, Quezon City, San Juan, Taguig, and Valenzuela, and one municipality: Pateros"
NCR: National Capital Region,,,"As of 2020, it has a population of 13,484,462, making it the second most populous and densely populated region in the country."
NCR: National Capital Region,,,"Metro Manila serves as the center of culture, economy, education, and government in the Philippines."
NCR: National Capital Region,,,"It is a global power city, influencing commerce, finance, media, art, technology, and entertainment locally and internationally."
CAR: Cordillera Administrative Region,CAR,Cordillera Administrative Region,"The Cordillera Administrative Region (CAR) is an administrative region located within Luzon, the largest island in the Philippines."
CAR: Cordillera Administrative Region,,,It is the only landlocked region in the country and is bordered by the Ilocos Region and Cagayan Valley Region.
CAR: Cordillera Administrative Region,,,"CAR is the least populous region in the Philippines, with a population smaller than that of Manila."
CAR: Cordillera Administrative Region,,,"The region consists of six provinces: Abra, Apayao, Benguet, Ifugao, Kalinga, and Mountain Province."
CAR: Cordillera Administrative Region,,,"Baguio, a highly urbanized city, serves as the regional center."
CAR: Cordillera Administrative Region,,,"CAR was officially established on July 15, 1987, and is home to various ethnic groups, including the Igorot population in Nueva Vizcaya and Quirino provinces."
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,BARMM,Bangsamoro Autonomous Region In Muslim Mindanao ,The Bangsamoro Autonomous Region in Muslim Mindanao (BARMM) is an autonomous region in the Philippines situated in southwestern Mindanao.
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,,,It replaced the Autonomous Region in Muslim Mindanao (ARMM) after the ratification of the Bangsamoro Organic Law through a plebiscite in 2019.
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,,,The establishment of the BARMM came after years of peace talks between the Philippine government and the Moro Islamic Liberation Front (MILF).
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,,,"The Comprehensive Agreement on the Bangsamoro was negotiated in 2014, leading to the creation and ratification of the Bangsamoro Organic Law in 2018."
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,,,"The BARMM's constitutionality, adopting a parliamentary system in a presidential system country, raised questions, but no judicial ruling was made against it."
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,,,The two-part plebiscite confirmed the dissolution of the ARMM and the addition of certain municipalities and barangays to the Bangsamoro region.
